ID,film,film_rating,cinema_score,release_date,run_time,budget,box_office_us_canada,box_office_other,box_office_worldwide,rotten_tomatoes_score,rotten_tomatoes_counts,metacritic_score,metacritic_counts,imdb_score,imdb_counts,
1,Toy Story,G,A,11/22/1995,81,30000000,223225679,171210907,394436586,100,96,95,26,8.3,1089101," 200,000,000 "
2,A Bug's Life,G,A,11/25/1998,95,120000000,162798565,200460294,363258859,92,91,78,23,7.2,319596,
3,Toy Story 2,G,A+,11/24/1999,92,90000000,245852179,265506097,511358276,100,172,88,34,7.9,630573,
4,"Monsters, Inc.",G,A+,11/2/2001,92,115000000,255873250,272900000,528773250,96,199,79,35,8.1,1000657,
5,Finding Nemo,G,A+,5/30/2003,100,94000000,339714978,531300000,871014978,99,270,90,38,8.2,1132877,
6,The Incredibles,PG,A+,11/5/2004,115,92000000,261441092,370001000,631442092,97,250,90,41,8,828986,
7,Cars,G,A,6/9/2006,116,120000000,244082982,217900167,461983149,75,204,73,39,7.2,484034,
8,Ratatouille,G,A,6/29/2007,111,150000000,206445654,417280431,623726085,96,253,96,37,8.1,851229,
9,WALL-E,G,A,6/27/2008,98,180000000,223808164,297503696,521311860,95,261,95,39,8.4,1226415,
10,Up,PG,A+,5/29/2009,96,175000000,293004164,442094918,735099082,98,297,88,37,8.3,1151249,
11,Toy Story 3,G,A,6/18/2010,103,200000000,415004880,651964823,1066969703,98,313,92,39,8.3,908222,
12,Cars 2,G,A-,6/24/2011,106,200000000,191452396,368400000,559852396,40,220,57,38,6.2,225724,
13,Brave,PG,A,6/22/2012,93,185000000,237283207,301700000,538983207,79,256,69,37,7.1,452012,
14,Monsters University,G,A,6/21/2013,104,200000000,268492764,475066843,743559607,80,203,65,41,7.2,398903,
15,Inside Out,PG,A,6/19/2015,95,175000000,356461711,501149463,857611174,98,387,94,55,8.1,834268,
16,The Good Dinosaur,PG,A,11/25/2015,93,175000000,123087120,209120551,332207671,75,220,66,37,6.7,130324,
17,Finding Dory,PG,A,6/17/2016,97,200000000,486295561,542275328,1028570889,94,339,77,48,7.2,311793,
18,Cars 3,G,A,6/16/2017,102,175000000,152901115,231029541,383930656,69,234,59,41,6.7,128849,
19,Coco,PG,A+,11/22/2017,105,175000000,210460015,604181157,814641172,97,357,81,48,8.4,618005,
20,Incredibles 2,PG,A+,6/15/2018,118,200000000,608581744,634223615,1242805359,93,390,80,51,7.5,341353,
21,Toy Story 4,G,A,6/21/2019,100,200000000,434038008,639356585,1073394593,97,459,84,57,7.6,288783,
22,Onward,PG,A-,3/6/2020,102,175000000,61555145,80384897,141940042,88,350,64,56,7.4,174917,
23,Soul,PG,NA,12/25/2020,100,150000000,946154,120957731,121903885,95,360,83,55,8,392783,
24,Luca,PG,NA,6/18/2021,95,,1324302,49788012,51112314,91,303,71,52,7.4,202404,
25,Turning Red,PG,NA,3/11/2022,100,175000000,1399001,20414357,21813358,95,289,83,52,7,158649,
26,Lightyear,PG,A-,6/17/2022,105,200000000,118307188,108118232,226425420,74,319,60,57,6.1,127045,
27,Elemental,PG,A,6/16/2023,101,200000000,154426697,342017611,496444308,73,262,58,45,7,140174,
28,Inside Out 2,PG,A,6/14/2024,96,200000000,652980194,1045050771,1698030965,90,313,73,59,7.6,168090,
